latitude longitude
13.058 -69.774
12.436 -69.361
13.085 -69.247
12.162 -68.289
12.158 -68.351
12.168 -68.306
17.373 -68.102
11.761 -67.942
12.414 -67.667
13.539 -65.766
18.732 -64.073
11.826 -66.692
18.381 -64.459
15.993 -79.931
16.09 -80.687
17.705 -75.643
17.714 -75.689
15.288 -79.46
17.692 -75.564
17.778 -75.473
12.269 -70.724
11.083 -74.45
12.206 -69.08
14.415 -69.038
11.399 -73.327
13.384 -68.78
11.806 -68.301
12.098 -68.279
12.04 -68.276
18.132 -67.985
11.433 -67.97
14.857 -67.835
15.692 -67.446
11.843 -66.655
13.602 -65.042
18.525 -64.377
18.587 -64.16
18.644 -64.156
16.084 -80.481
12.223 -68.46
15.992 -79.956
15.981 -79.974
14.388 -79.289
12.098 -68.462
17.699 -75.658
14.294 -75.937
17.813 -75.903
17.489 -75.831
17.763 -75.734
17.684 -75.694
17.666 -75.669
16.074 -80.085
12.14 -68.294
12.183 -68.273
16.819 -70.272
18.527 -65.036
18.591 -64.154
18.65 -64.034
16.072 -80.481
11.098 -74.466
16.022 -80.672
16.071 -80.51
15.443 -81
16.039 -81.216
17.674 -75.963
15.007 -75.728
17.662 -75.646
17.684 -75.64
14.907 -76.22
17.649 -75.72
17.716 -75.687
17.863 -75.685
17.669 -75.682
11.063 -74.568
14.41 -70.918
11.86 -70.66
11.786 -72.783
13.241 -71.678
12.963 -68.597
12.173 -68.298
12.171 -68.268
16.178 -67.523
18.596 -64.147
13.712 -64.963
12.723 -70.462
15.762 -80.198
17.711 -75.667
17.695 -75.642
17.952 -76.08
17.765 -75.731
16.275 -74.189
14.747 -71.14
18.22 -71.032
15.468 -71.557
17.567 -70.117
12.4 -69.565
18.076 -68.761
12.136 -68.287
18.577 -64.097
18.587 -64.17
18.875 -63.971
16.008 -80.943
16.066 -80.479
11.045 -74.444
16.451 -81.598
15.383 -80.805
17.697 -75.998
17.716 -75.572
17.99 -75.324
14.203 -74.579
14.882 -71.179
14.882 -71.179
15.186 -71.165
16.75 -70.381
11.068 -74.495
11.085 -74.476
11.081 -74.443
12.252 -68.523
13.029 -69.808
18.984 -68.723
12.188 -68.294
12.188 -68.294
12.119 -68.255
13.593 -65.796
11.173 -65.688
18.597 -64.084
12.036 -66.433
17.844 -66.282
11.97 -64.993
14.609 -74.334
16.085 -80.486
16.441 -81.691
17.697 -75.656
17.704 -75.65
14.364 -76.718
17.724 -75.739
14.172 -75.3
17.702 -75.63
17.728 -75.625
17.684 -75.597
17.77 -75.555
16.394 -70.641
11.919 -70.35
18.296 -74.425
13.231 -69.06
15.809 -73.847
15.809 -73.847
11.95 -72.44
13.271 -69.635
12.477 -69.354
19.239 -68.867
19.239 -68.867
13.412 -68.777
16.43 -81.634
17.708 -75.666
17.713 -75.646
17.754 -75.783
17.698 -75.672
16.164 -79.628
17.749 -75.621
17.682 -75.609
17.985 -71.131
17.617 -71.042
17.382 -70.368
11.093 -74.455
12.947 -69.295
15.788 -69.197
15.788 -69.197
15.788 -69.197
12.443 -68.63
11.828 -66.91
11.738 -67.915
14.446 -65.649
18.591 -64.154
11.839 -66.664
15.895 -80.898
12.899 -70.68
14.865 -74.253
16.11 -80.422
13.379 -71.932
15.935 -81.119
17.773 -75.665
17.676 -75.649
17.707 -75.644
17.727 -75.706
17.714 -75.693
16.136 -79.49
14.818 -77.771
17.764 -75.625
17.709 -75.618
17.69 -75.591
12.629 -71.106
